name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
3D Cover,classical,0,0,0.67,26.75,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,1,50000,1536,78,400,107,79,31,70,113
4 values whose sum is 0,classical,34,9,0.02,26.26,16,13,Abhilash I,Cube (Intel G860),2007,1.419,50000,1536,3198,25489,6693,5992,1474,2489,8818
A - Comparison Expressions,classical,0,0,0.89,33.21,0,0,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,1.974,50000,1536,49,265,88,88,17,37,35
A - Crazy Rows,classical,2,1,0.4,46.48,23,23,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,1.009,50000,1536,160,383,178,125,26,30,24
A Brief Expedition,classical,7,1,0.33,59.14,14,12,SourSpinach,Cube (Intel G860),2014,3,50000,1536,204,394,233,66,14,18,62
A Bug’s Life,classical,108,5,0.02,25.19,14,13,Daniel Gómez Didier,Cube (Intel G860),2008,0.15,50000,1536,5044,28599,7205,12835,1747,2439,4345
A Canvas Building,classical,0,0,0.84,20.77,17,17,Pablo Ariel Heiber,Cube (Intel G860),2011,1.315,50000,1536,54,491,102,93,44,31,221
A Chase In WonderLand,classical,1,0,0.23,13.22,17,1,Abhilash I,Cube (Intel G860),2007,0.192,50000,1536,311,3555,470,1136,189,202,1549
A Classic Myth - Flatland Superhero,classical,0,0,1.74,54.55,0,0,Gareev,Cube (Intel G860),2012,0.1,50000,1536,5,11,6,1,2,2,0
A Coin Game,classical,3,0,0.19,29.25,17,28,HNUE,Cube (Intel G860),2009,0.142,50000,1536,382,1945,569,484,101,146,642
A Colorful world,classical,2,0,0.73,36.47,1,1,Shafaet,Cube (Intel G860),2014,1,50000,1536,69,351,128,145,21,9,47
A concrete simulation,classical,10,0,0.05,34.55,11,9,Noszi,Cube (Intel G860),2005,7,7777,1536,1511,6998,2418,2538,274,725,1040
A conjecture of Paul Erdős,classical,2,0,0.15,49.55,1,9,Robert Gerbicz,Cube (Intel G860),2009,0.439,4096,1536,505,1760,872,174,153,99,461
A conjecture of Paul Erdős (hard),classical,2,0,1.82,6.52,34,34,Robert Gerbicz,Cube (Intel G860),2015,25,50000,1536,3,46,3,8,2,14,19
A Day at the Races,classical,0,0,0.55,22.99,0,0,Ahmed Aly,Cube (Intel G860),2009,0.352,50000,1536,104,522,120,292,23,65,22
A Famous Airport Manager,classical,0,0,1.27,19.94,0,0,Fudan University Problem Setters,Cube (Intel G860),2009,1,50000,1536,22,339,66,161,12,15,84
A Famous City,classical,2,0,0.17,32.9,34,34,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,443,2587,851,1006,127,208,389
A Famous Equation,classical,0,0,0.85,30.38,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,53,371,112,213,12,10,24
A Famous Game,classical,0,0,0.41,26.5,26,34,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,156,935,247,547,38,19,83
A Famous Grid,classical,0,0,0.42,18.26,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,148,1932,352,736,86,158,600
A Famous ICPC Team,classical,5,0,0.04,37.78,1,9,Fudan University Problem Setters,Cube (Intel G860),2012,1,50000,1536,1838,6418,2425,2640,460,130,759
A Famous King’s Trip,classical,0,0,1.38,9.18,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,10,50000,1536,17,294,27,144,11,75,37
A Famous Stone Collector,classical,1,0,0.66,39.32,0,0,Fudan University Problem Setters,Cube (Intel G860),2012,10,50000,1536,80,590,232,153,41,71,92
A Frightening Evening,classical,0,0,0.93,27.36,0,0,SourSpinach,Cube (Intel G860),2014,1,50000,1536,45,212,58,135,10,3,4
A function over factors,classical,1,0,0.66,35.8,1,17,Raziman T V,Cube (Intel G860),2012,0.335,50000,1536,81,553,198,111,20,7,215
A Game of Pearls,classical,0,0,1.01,28.77,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,5,50000,1536,38,219,63,64,33,10,49
A Game of Toy Bricks,classical,0,0,1.04,35.09,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,1,50000,1536,36,114,40,48,20,0,6
A Game with Numbers,classical,55,8,0.01,61.76,2,10,Roman Sol,Cube (Intel G860),2006,0.62,50000,1536,7504,13801,8524,3634,764,408,454
A game with probability,classical,0,0,0.56,18.63,0,0,Pavel Kuznetsov,Cube (Intel G860),2009,0.1,50000,1536,103,655,122,382,22,38,91
A HUGE TOWER,classical,0,0,0.6,46.2,0,0,Phan Công Minh,Cube (Intel G860),2010,0.196,50000,1536,93,303,140,57,17,30,59
A jumpy cycle,classical,0,0,0.89,65.48,0,0,Xellos,Cube (Intel G860),2011,0.1,50000,1536,49,84,55,14,10,1,4
A Kleene Implementation,classical,0,0,1.82,30.43,0,0,Mitch Schwartz,Cube (Intel G860),2013,5,50000,1536,3,23,7,2,0,4,10
A Knightly Pursuit,classical,0,0,0.77,28.52,0,0,JaceTheMindSculptor,Cube (Intel G860),2009,0.119,50000,1536,63,284,81,177,8,5,11
A Knights’ Tale,classical,2,0,0.75,23.45,0,0,Omar ElAzazy,Cube (Intel G860),2010,0.14,50000,1536,66,435,102,113,28,64,128
A los saltos,classical,0,0,1.16,28.07,0,0,Coach UTN FRSF,Cube (Intel G860),2011,0.414,50000,1536,28,114,32,49,6,7,20
A Needle in the Haystack,classical,91,7,0.02,36.42,15,14,mima,Cube (Intel G860),2004,5,50000,1536,5195,25972,9460,5605,2715,4481,3697
A Pair of Graphs,classical,0,0,0.79,57.39,0,0,Fudan University Problem Setters,Cube (Intel G860),2009,1,50000,1536,60,115,66,30,3,11,5
A place for the brewery,classical,0,0,0.33,26.91,0,0,Paweł Dobrzycki,Cube (Intel G860),2005,0.219,50000,1536,198,888,239,461,55,48,85
A Pleasant Stroll,classical,3,0,0.54,33.12,12,12,SourSpinach,Cube (Intel G860),2014,3,50000,1536,108,474,157,218,22,8,68
A plus B,classical,1,0,1.82,3.16,34,34,Mostafa 36a2,Cube (Intel G860),2013,1,50000,1536,3,95,3,2,14,76,0
A Romantic Dinner Outing,classical,0,0,1.51,29.31,0,0,SourSpinach,Cube (Intel G860),2013,2,50000,1536,12,58,17,31,8,2,0
A Romantic Movie Outing,classical,0,0,1.27,22.96,0,0,SourSpinach,Cube (Intel G860),2013,2,50000,1536,22,135,31,69,3,16,16
A short vacation in Disneyland,classical,4,0,0.32,15.42,30,26,Thanh-Vy Hua,Cube (Intel G860),2007,0.1,50000,1536,206,1829,282,1176,68,157,142
A Simple Calculator in the Galaxy,classical,0,0,1.19,40.19,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,5,17000,1536,26,107,43,28,0,14,22
A Subtle Surf,classical,2,0,0.53,44.24,9,9,SourSpinach,Cube (Intel G860),2014,2,50000,1536,111,330,146,132,17,18,16
