name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
AVERYEASYPROBLEM,2,0,0,0,57.14,0,0,cegprakash,Cube (Intel G860),2011,0.909,200,1536,62,196,112,33,22,23,6
AVION,2,0,0,0,41.24,0,0,Kawmia Institutes,Cube (Intel G860),2011,0.241,50000,1536,1408,3720,1534,1459,317,336,68
AVL Tree,2,0,0,0,32.76,0,0,Arianto Wibowo,Cube (Intel G860),2016,1,50000,1536,86,580,190,122,76,38,154
Avoiding SOS Grids,1,0,0,0.77,10.28,0,0,Varun Jalan,Cube (Intel G860),2010,0.49,50000,1536,63,856,88,209,28,73,455
Awari 2,1,1,0,0.24,50.88,26,34,Fidel Schaposnik,Cube (Intel G860),2012,2,50000,1536,286,792,403,278,34,35,38
Axis of Symmetry,1,1,0,0.82,17.45,34,17,Pablo Ariel Heiber,Cube (Intel G860),2010,3.033,50000,1536,56,573,100,215,20,24,214
Aya the new contestant,2,0,0,0,14.29,0,0,Mohamed Ali,Cube (Intel G860),2014,0.1,50000,1536,2,14,2,1,3,2,6
Azooz,2,0,0,0,59.5,0,0,Sharaf,Cube (Intel G860),2013,0.18,50000,1536,228,400,238,103,30,19,10
B - Esperanto Lessons,1,1,0,0.82,63.11,1,17,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,0.1,50000,1536,57,103,65,23,10,4,1
B - Stock Charts,1,0,0,1.07,43.21,0,0,Alvaro Javier Medina Balboa,Cube (Intel G860),2010,0.239,50000,1536,34,81,35,19,10,5,12
"B Beware, the end of the world",1,0,0,1.23,27.73,0,0,Olson Ortiz,Cube (Intel G860),2011,0.1,50000,1536,24,119,33,51,9,17,9
Baby,1,9,1,0.12,43.97,22,25,Duc,Cube (Intel G860),2008,0.193,50000,1536,647,2090,919,281,215,80,593
